"id","code","name","parent_id:id","reconcile","type","user_type:id","tax_ids:id"
"ns0","ns0","Your Company",,"False","view","account.data_account_type_view",
"ns1","ns1","Eiendeler","ns0","False","view","account.data_account_type_view",
"ns10","ns10","Immaterielle eiendeler mv.","ns1","False","view","account.data_account_type_view",
"ns1000","ns1000","Forskning og utvikling","ns10","False","other","account.data_account_type_asset",
"ns1020","ns1020","Konsesjoner","ns10","False","other","account.data_account_type_asset",
"ns1030","ns1030","Patenter","ns10","False","other","account.data_account_type_asset",
"ns1040","ns1040","Lisenser","ns10","False","other","account.data_account_type_asset",
"ns1050","ns1050","Varemerker","ns10","False","other","account.data_account_type_asset",
"ns1060","ns1060","Andre rettigheter","ns10","False","other","account.data_account_type_asset",
"ns1070","ns1070","Utsatt skattefordel","ns10","False","other","account.data_account_type_asset",
"ns1080","ns1080","Goodwill","ns10","False","other","account.data_account_type_asset",
"ns11","ns11","Tomter bygginger og annen fast eiendom","ns1","False","view","account.data_account_type_view",
"ns1100","ns1100","Bygninger","ns11","False","other","account.data_account_type_asset",
"ns1120","ns1120","Bygningsmessige anlegg","ns11","False","other","account.data_account_type_asset",
"ns1160","ns1160","Boliger inkl. tomter","ns11","False","other","account.data_account_type_asset",
"ns1190","ns1190","Andre anleggsmidler","ns11","False","other","account.data_account_type_asset",
"ns12","ns12","Transportmiddel, inventar og maskiner mv","ns1","False","view","account.data_account_type_view",
"ns1200","ns1200","Maskiner og anlegg","ns12","False","other","account.data_account_type_asset",
"ns1210","ns1210","Maskiner og anlegg under utførelse","ns12","False","other","account.data_account_type_asset",
"ns1230","ns1230","Biler","ns12","False","other","account.data_account_type_asset",
"ns1240","ns1240","Andre transportmidler","ns12","False","other","account.data_account_type_asset",
"ns1250","ns1250","Inventar","ns12","False","other","account.data_account_type_asset",
"ns1280","ns1280","Kontormaskiner","ns12","False","other","account.data_account_type_asset",
"ns1290","ns1290","Andre driftsmidler","ns12","False","other","account.data_account_type_asset",
"ns13","ns13","Finansielle anleggsmidler","ns1","False","view","account.data_account_type_view",
"ns1300","ns1300","Investeringer i datterselskaper","ns13","False","other","account.data_account_type_asset",
"ns1340","ns1340","Lån til foretak i samme konsern","ns13","False","other","account.data_account_type_asset",
"ns1350","ns1350","Investeringer i aksjer og andeler","ns13","False","other","account.data_account_type_asset",
"ns1360","ns1360","Obligasjoner","ns13","False","other","account.data_account_type_asset",
"ns1370","ns1370","Fordringer på eiere styremedlemmer ol.","ns13","False","other","account.data_account_type_asset",
"ns1380","ns1380","Fordringer på ansatte","ns13","False","other","account.data_account_type_asset",
"ns1390","ns1390","Andre fordringer","ns13","False","other","account.data_account_type_asset",
"ns14","ns14","Varelager og forskudd til leverandører","ns1","False","view","account.data_account_type_view",
"ns1400","ns1400","Råvarer og innkjøpte halvfabrikata","ns14","False","other","account.data_account_type_asset",
"ns1460","ns1460","Varer på lager","ns14","False","other","account.data_account_type_asset",
"ns1480","ns1480","Forskuddsbetaling til leverandør","ns14","False","other","account.data_account_type_asset",
"ns15","ns15","Kortsiktige fordringer","ns1","False","view","account.data_account_type_view",
"ns1500","ns1500","Kundefordringer","ns15","False","view","account.account_type_income_view1",
"ns1530","ns1530","Opptjente, ikke fakturerte driftsinntekter","ns15","False","Receivable","account.data_account_type_receivable",
"ns1570","ns1570","Andre kortsiktige fordringer","ns15","False","Receivable","account.data_account_type_receivable",
"ns1580","ns1580","Avsetning tap på fordringer","ns15","False","Receivable","account.data_account_type_receivable",
"ns16","ns16","Merverdiavgift Opptjente off.tilskudd ol.","ns1","False","view","account.data_account_type_view",
"ns1670","ns1670","Krav på offentlige tilskudd","ns16","False","Receivable","account.data_account_type_receivable",
