"id","name","code","parent_id:id","notprintable","sign"
0,"Merverdiavgift","i0",,,1
"o1","Samlet omsetning og uttak","om1",0,"FALSE",0
"o2","Samlet omsetning og uttak, eks avgift","om2","o1","FALSE",-1
"o3","Omsetning og utak i o2 som er fritatt MVA","om3","o2","FALSE",-1
"o4","Omsetning og utak i med høy sats ink.MVA","om4","o2","FALSE",-1
"o4a","Beregnet avgift høy sats","om4a","o4","FaLSE",-1
"o5","Omsetning og utak i med middels. sats ink.MVA","om5","o2","FALSE",-1
"o5a","Beregnet avgift middels sats","om5a","o5","FaLSE",-1
"o6","Omsetning og utak i med med. sats ink.MVA","om5","o2","FALSE",-1
"o6a","Beregnet avgift medium sats","om5a","o6","FALSE",-1
"o7","Beregningsgrunnlag for tjenester kjøpt i utlandet, ink MVA","om7","o1","FALSE",-1
"o7a","Beregnet avgift utland","om7a","o7","FALSE",-1
"o8","Fradragsberettiget inngående avgift, høy sats.","om8",0,"FALSE",0
"o9","Fradragsberettiget inngående avgift, middels sats.","om9",0,"FALSE",0
"o10","Fradragsberettiget inngående avgift, lav sats.","om10",0,"FALSE",0
4,"Netto MVA å betale/refundere","i5",0,"FALSE",1
5,"Total salgsverdi eks.MVA ","i6",0,"FALSE",0
6,"Total kjøpsverdi eks.MVA","i7",0,"FALSE",0
8,"Total value of EC purchases, ex VAT","i9",0,"FALSE",0
1,"MVA på salg og annet uttak.","i1",4,"FALSE",1
2,"VAT on acquisitions from other EC Member states","i2",4,"FALSE",1
3,"VAT reclaimed on purchases (EC included)","i4",4,"FALSE",-1
7,"Total value of EC sales, ex VAT","i8",5,"FALSE",1
